fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8586,0.7619,0.8846,0.6400,0.6957,0.8730
2,P2,0.5794,0.4667,0.8438,0.8750,0.6087,0.7696
3,P3,0.7260,0.8966,0.6838,0.4127,0.5652,0.8391
4,P4,0.4661,0.3140,0.8750,0.8710,0.4615,0.6275
5,P5,0.8062,0.7778,0.8083,0.2333,0.3590,0.8694
6,P6,0.7576,0.0000,0.9146,0.0000,0.0000,0.2590
7,P7,0.7941,0.1818,0.8480,0.0952,0.1250,0.5738
8,P9,0.5526,0.2917,1.0000,1.0000,0.4516,0.7812
9,P10,0.6087,0.0000,0.7636,0.0000,0.0000,0.3065
10,P11,0.6746,0.1154,0.8200,0.1429,0.1277,0.5373
11,P13,0.5234,0.0455,0.8571,0.1818,0.0727,0.5047
12,P15,0.5169,0.3250,0.9211,0.8966,0.4771,0.6875
13,P17,0.7500,0.8000,0.7344,0.4848,0.6038,0.7578
14,P18,0.4752,0.0556,0.9574,0.6000,0.1017,0.4807
15,P20,0.8280,0.5714,0.9028,0.6316,0.6000,0.7560
16,P22,0.8065,0.2222,0.9467,0.5000,0.3077,0.5607
17,P23,0.7273,0.7143,0.7292,0.2778,0.4000,0.7954
