fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8889,0.7143,0.9359,0.7500,0.7317,0.8510
2,P2,0.4486,0.2800,0.8438,0.8077,0.4158,0.7556
3,P3,0.8493,0.7586,0.8718,0.5946,0.6667,0.8516
4,P4,0.4153,0.2209,0.9375,0.9048,0.3551,0.6670
5,P5,0.8760,0.5556,0.9000,0.2941,0.3846,0.8389
6,P6,0.7778,0.0000,0.9390,0.0000,0.0000,0.3551
7,P7,0.8382,0.2727,0.8880,0.1765,0.2143,0.5033
8,P8,0.8125,0.0000,0.8349,0.0000,0.0000,0.5719
9,P9,0.4868,0.1875,1.0000,1.0000,0.3158,0.7377
10,P10,0.7681,0.0000,0.9636,0.0000,0.0000,0.3565
11,P11,0.7063,0.0769,0.8700,0.1333,0.0976,0.4731
12,P13,0.5888,0.0000,1.0000,0.0000,0.0000,0.4818
13,P15,0.4492,0.2000,0.9737,0.9412,0.3299,0.6753
14,P17,0.7857,0.7500,0.7969,0.5357,0.6250,0.7641
15,P18,0.4554,0.0000,0.9787,0.0000,0.0000,0.5185
16,P20,0.8065,0.4286,0.9167,0.6000,0.5000,0.7388
17,P22,0.8172,0.2222,0.9600,0.5714,0.3200,0.5578
18,P23,0.7818,0.6429,0.8021,0.3214,0.4286,0.8002
