fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8788,0.8095,0.8974,0.6800,0.7391,0.9493
2,P2,0.6542,0.6000,0.7812,0.8654,0.7087,0.7067
3,P3,0.4863,0.8966,0.3846,0.2653,0.4094,0.7448
4,P4,0.5678,0.4884,0.7812,0.8571,0.6222,0.6265
5,P5,0.7054,0.8889,0.6917,0.1778,0.2963,0.9130
6,P6,0.6263,0.0588,0.7439,0.0455,0.0513,0.2690
7,P7,0.7647,0.4545,0.7920,0.1613,0.2381,0.7229
8,P9,0.6447,0.5208,0.8571,0.8621,0.6494,0.7232
9,P10,0.6522,0.0714,0.8000,0.0833,0.0769,0.2623
10,P11,0.6746,0.1923,0.8000,0.2000,0.1961,0.5254
11,P13,0.4860,0.1364,0.7302,0.2609,0.1791,0.3932
12,P15,0.5169,0.3750,0.8158,0.8108,0.5128,0.6257
13,P17,0.6786,0.8000,0.6406,0.4103,0.5424,0.7883
14,P18,0.4653,0.1667,0.8085,0.5000,0.2500,0.4602
15,P20,0.7312,0.6667,0.7500,0.4375,0.5283,0.7851
16,P22,0.8495,0.4444,0.9467,0.6667,0.5333,0.8022
17,P23,0.5727,0.9286,0.5208,0.2203,0.3562,0.7939
