fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.7071,0.8571,0.6667,0.4091,0.5538,0.8352
2,P2,0.5888,0.4800,0.8438,0.8780,0.6207,0.7500
3,P3,0.6712,0.8621,0.6239,0.3623,0.5102,0.8488
4,P4,0.4831,0.3372,0.8750,0.8788,0.4874,0.5992
5,P5,0.7132,0.7778,0.7083,0.1667,0.2745,0.8074
6,P6,0.6869,0.0000,0.8293,0.0000,0.0000,0.3135
7,P7,0.7426,0.1818,0.7920,0.0714,0.1026,0.4407
8,P9,0.5263,0.3333,0.8571,0.8000,0.4706,0.7403
9,P10,0.5362,0.1429,0.6364,0.0909,0.1111,0.3078
10,P11,0.5714,0.2308,0.6600,0.1500,0.1818,0.5377
11,P13,0.5234,0.1364,0.7937,0.3158,0.1905,0.5649
12,P15,0.5593,0.3875,0.9211,0.9118,0.5439,0.7115
13,P17,0.6905,0.8000,0.6562,0.4211,0.5517,0.6867
14,P18,0.5050,0.1111,0.9574,0.7500,0.1935,0.5146
15,P20,0.7957,0.6190,0.8472,0.5417,0.5778,0.7037
16,P22,0.7419,0.2778,0.8533,0.3125,0.2941,0.5296
17,P23,0.6545,0.6429,0.6562,0.2143,0.3214,0.7396
