fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8687,0.7619,0.8974,0.6667,0.7111,0.9017
2,P2,0.6075,0.4933,0.8750,0.9024,0.6379,0.7117
3,P3,0.6233,0.7586,0.5897,0.3143,0.4444,0.6885
4,P4,0.4746,0.3023,0.9375,0.9286,0.4561,0.6653
5,P5,0.8450,0.3333,0.8833,0.1765,0.2308,0.7204
6,P6,0.7071,0.1176,0.8293,0.1250,0.1212,0.3924
7,P7,0.7868,0.0000,0.8560,0.0000,0.0000,0.6647
8,P9,0.5526,0.3333,0.9286,0.8889,0.4848,0.6347
9,P10,0.7681,0.0000,0.9636,0.0000,0.0000,0.3714
10,P11,0.6825,0.3846,0.7600,0.2941,0.3333,0.5873
11,P13,0.6075,0.0682,0.9841,0.7500,0.1250,0.5678
12,P15,0.5000,0.3750,0.7632,0.7692,0.5042,0.6569
13,P17,0.7976,0.7500,0.8125,0.5556,0.6383,0.7641
14,P18,0.4752,0.0556,0.9574,0.6000,0.1017,0.5197
15,P20,0.7312,0.5714,0.7778,0.4286,0.4898,0.7487
16,P22,0.7312,0.7778,0.7200,0.4000,0.5283,0.8533
17,P23,0.7000,0.7857,0.6875,0.2683,0.4000,0.8274
