fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8889,0.7619,0.9231,0.7273,0.7442,0.8871
2,P2,0.5514,0.4133,0.8750,0.8857,0.5636,0.7158
3,P3,0.6233,0.7931,0.5812,0.3194,0.4554,0.7495
4,P4,0.4407,0.2907,0.8438,0.8333,0.4310,0.6693
5,P5,0.9070,0.2222,0.9583,0.2857,0.2500,0.7574
6,P6,0.7273,0.0000,0.8780,0.0000,0.0000,0.3723
7,P7,0.8603,0.0000,0.9360,0.0000,0.0000,0.6240
8,P9,0.5132,0.2917,0.8929,0.8235,0.4308,0.6086
9,P10,0.7681,0.0000,0.9636,0.0000,0.0000,0.3610
10,P11,0.7619,0.1923,0.9100,0.3571,0.2500,0.5888
11,P13,0.6075,0.0455,1.0000,1.0000,0.0870,0.5981
12,P15,0.5085,0.4125,0.7105,0.7500,0.5323,0.6773
13,P17,0.7738,0.7000,0.7969,0.5185,0.5957,0.7969
14,P18,0.4653,0.0000,1.0000,0.0000,0.0000,0.4890
15,P20,0.7419,0.4762,0.8194,0.4348,0.4545,0.7579
16,P22,0.7419,0.6667,0.7600,0.4000,0.5000,0.8459
17,P23,0.7000,0.7143,0.6979,0.2564,0.3774,0.7939
