fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.7071,0.8095,0.6795,0.4048,0.5397,0.8724
2,P2,0.6355,0.5733,0.7812,0.8600,0.6880,0.7440
3,P3,0.6096,0.8621,0.5470,0.3205,0.4673,0.6876
4,P4,0.5424,0.5000,0.6562,0.7963,0.6143,0.5985
5,P5,0.7132,0.4444,0.7333,0.1111,0.1778,0.5824
6,P6,0.6667,0.1765,0.7683,0.1364,0.1538,0.3788
7,P7,0.7941,0.1818,0.8480,0.0952,0.1250,0.6567
8,P9,0.6579,0.5625,0.8214,0.8438,0.6750,0.7098
9,P10,0.7826,0.0714,0.9636,0.3333,0.1176,0.3104
10,P11,0.6429,0.5000,0.6800,0.2889,0.3662,0.6246
11,P13,0.5421,0.1818,0.7937,0.3810,0.2462,0.4297
12,P15,0.5339,0.5000,0.6053,0.7273,0.5926,0.6273
13,P17,0.7143,0.8500,0.6719,0.4474,0.5862,0.7703
14,P18,0.4950,0.1852,0.8511,0.5882,0.2817,0.5709
15,P20,0.5699,0.7143,0.5278,0.3061,0.4286,0.7354
16,P22,0.7419,0.8333,0.7200,0.4167,0.5556,0.8722
17,P23,0.5000,1.0000,0.4271,0.2029,0.3373,0.8065
