fold,subject_id,accuracy,sensitivity,specificity,precision,f1,auc
1,P1,0.8081,0.8571,0.7949,0.5294,0.6545,0.9054
2,P2,0.6636,0.5733,0.8750,0.9149,0.7049,0.6958
3,P3,0.5205,0.6207,0.4957,0.2338,0.3396,0.5750
4,P4,0.5254,0.3837,0.9062,0.9167,0.5410,0.6588
5,P5,0.8217,0.3333,0.8583,0.1500,0.2069,0.7602
6,P6,0.6768,0.1176,0.7927,0.1053,0.1111,0.4319
7,P7,0.7426,0.5455,0.7600,0.1667,0.2553,0.6698
8,P9,0.5395,0.3750,0.8214,0.7826,0.5070,0.5774
9,P10,0.7246,0.0000,0.9091,0.0000,0.0000,0.4312
10,P11,0.6190,0.4231,0.6700,0.2500,0.3143,0.5535
11,P13,0.6262,0.1818,0.9365,0.6667,0.2857,0.6097
12,P15,0.5085,0.3875,0.7632,0.7750,0.5167,0.6418
13,P17,0.7143,0.7000,0.7188,0.4375,0.5385,0.7266
14,P18,0.4554,0.1296,0.8298,0.4667,0.2029,0.5035
15,P20,0.7527,0.5714,0.8056,0.4615,0.5106,0.7328
16,P22,0.7204,0.8333,0.6933,0.3947,0.5357,0.8104
17,P23,0.7727,0.7143,0.7812,0.3226,0.4444,0.8036
