condition,group,n,cas_rate_pre_mean,cas_rate_pre_std,cas_rate_post_mean,cas_rate_post_std,delta_cas_mean,delta_cas_std,mwu_pvalue,kruskal_pvalue
all,BDR+,9,41.435,21.199,35.226,17.855,6.209,34.844,0.095,0.2478
all,BDR-,14,38.54,14.694,43.86,14.187,-16.573,19.771,0.095,0.2478
all,Controls,5,44.188,17.804,49.855,19.547,-13.552,9.602,0.095,0.2478
ch1,BDR+,9,40.388,22.359,33.114,18.846,-2.135,77.562,0.1227,0.2239
ch1,BDR-,14,40.628,16.441,46.838,15.116,-20.694,29.21,0.1227,0.2239
ch1,Controls,5,42.528,15.906,44.878,16.814,-12.665,33.799,0.1227,0.2239
ch2,BDR+,9,42.483,22.699,37.339,20.158,5.574,29.337,0.1227,0.2367
ch2,BDR-,14,36.453,16.137,40.882,17.833,-13.868,25.195,0.1227,0.2367
ch2,Controls,5,45.848,20.858,54.833,28.274,-11.307,36.056,0.1227,0.2367
insp,BDR+,9,42.596,27.892,43.425,25.235,-37.021,84.211,1.0,0.8383
insp,BDR-,14,56.243,16.935,65.524,17.989,-18.85,20.892,1.0,0.8383
insp,Controls,5,54.17,26.041,64.264,25.934,-27.201,24.021,1.0,0.8383
esp,BDR+,9,40.275,25.616,27.027,24.654,37.94,28.868,0.0215,0.0255
esp,BDR-,14,20.838,20.715,22.196,20.271,-114.244,328.703,0.0215,0.0255
esp,Controls,5,34.206,13.406,35.447,13.645,-3.304,24.512,0.0215,0.0255
ch1_insp,BDR+,9,45.454,29.959,43.578,27.115,-68.592,178.641,0.9247,0.9756
ch1_insp,BDR-,14,60.886,16.554,71.103,16.489,-19.992,23.094,0.9247,0.9756
ch1_insp,Controls,5,57.349,26.069,64.266,19.919,-39.117,77.085,0.9247,0.9756
ch1_esp,BDR+,9,35.322,29.043,22.649,26.963,31.254,55.281,0.0832,0.198
ch1_esp,BDR-,14,20.37,24.087,22.573,22.336,-239.407,621.855,0.0832,0.198
ch1_esp,Controls,5,27.707,11.89,25.491,15.402,6.489,39.626,0.0832,0.198
ch2_insp,BDR+,9,39.737,27.446,43.272,31.072,-32.931,77.36,0.7768,0.9703
ch2_insp,BDR-,14,51.6,20.244,59.944,23.727,-17.398,27.717,0.7768,0.9703
ch2_insp,Controls,5,50.99,27.068,64.262,33.703,-19.642,52.168,0.7768,0.9703
ch2_esp,BDR+,9,45.228,27.461,31.405,23.904,34.174,27.936,0.0726,0.0797
ch2_esp,BDR-,14,21.306,21.939,21.82,23.331,-35.034,96.56,0.0726,0.0797
ch2_esp,Controls,5,40.705,22.139,45.403,26.472,-5.783,23.448,0.0726,0.0797
